label,description,image,timeunit,timevalue,anchor?
Jurassic Park Premieres,"Jurassic Park, later also referred to as Jurassic World, is an American science fiction media franchise created by Michael Crichton and centered on a disastrous attempt to create a theme park of cloned dinosaurs.",jurassicparkpremieres.png,year,1993,FALSE
Mount St. Helens Erupted,"On March 27, 1980, a series of volcanic explosions and pyroclastic flows began at Mount St. Helens in Skamania County, Washington, United States. A series of phreatic blasts occurred from the summit and escalated until a major explosive eruption took place on May 18, 1980, at 8:32 AM. The eruption, which had a Volcanic Explosivity Index of 5, was the most significant to occur in the contiguous United States since the much smaller 1915 eruption of Lassen Peak in California. It has often been declared the most disastrous volcanic eruption in U.S. history. ",mountsthelenserupted.jpg,year,1980,FALSE
Moon Landing,"The United States' Apollo 11 was the first crewed mission to land on the Moon, on 20 July 1969. There were six crewed U.S. landings between 1969 and 1972, and numerous uncrewed landings, with no soft landings happening between 22 August 1976 and 14 December 2013.",moonlanding.png,year,1969,FALSE
UBC Founded,"The University of British Columbia (UBC) is a public research university with campuses near Vancouver and in Kelowna, British Columbia. Established in 1908, it is British Columbia's oldest university. The university ranks among the top three universities in Canada. With an annual research budget of $759 million, UBC funds over 8,000 projects a year.",ubcfounded.png,year,1908,FALSE
Tambora Eruption,"Mount Tambora is a volcano on the island of Sumbawa in present-day Indonesia, then part of the Dutch East Indies, and its 1815 eruption was the most powerful volcanic eruption in recorded human history. This volcanic explosivity index (VEI) 7 eruption ejected 160–213 cubic kilometres (38–51 cu mi) of material into the atmosphere, and was the most recent confirmed VEI-7 eruption.",tamboraeruption.jpg,year,1815,FALSE
Little Ice Age,"The Little Ice Age (LIA) was a period of regional cooling, particularly pronounced in the North Atlantic region. It was not a true ice age of global extent. The term was introduced into scientific literature by François E. Matthes in 1939. The period has been conventionally defined as extending from the 16th to the 19th centuries, but some experts prefer an alternative timespan from about 1300 to about 1850.",littleiceage.png,years,500,FALSE
Ancient Egyptians,"Ancient Egypt was a civilization in Northeast Africa situated in the Nile Valley. Ancient Egyptian civilization followed prehistoric Egypt and coalesced around 3100 BC (according to conventional Egyptian chronology)[1] with the political unification of Upper and Lower Egypt under Menes (often identified with Narmer).[2] The history of ancient Egypt occurred as a series of stable kingdoms, separated by periods of relative instability known as Intermediate Periods: the Old Kingdom of the Early Bronze Age, the Middle Kingdom of the Middle Bronze Age and the New Kingdom of the Late Bronze Age.",ancientegyptians.jpg,years,5170,FALSE
Domestication of Rice,"Rice is the seed of the grass species Oryza sativa (Asian rice) or less commonly Oryza glaberrima (African rice). The name wild rice is usually used for species of the genera Zizania and Porteresia, both wild and domesticated, although the term may also be used for primitive or uncultivated varieties of Oryza.",domesticationofrice.jpeg,years,9400,FALSE
Last Ice Age,"An ice age is a long period of reduction in the temperature of Earth's surface and atmosphere, resulting in the presence or expansion of continental and polar ice sheets and alpine glaciers. Earth's climate alternates between ice ages and greenhouse periods, during which there are no glaciers on the planet. Earth is currently in the Quaternary glaciation.[1] Individual pulses of cold climate within an ice age are termed glacial periods (or, alternatively, glacials, glaciations, glacial stages, stadials, stades, or colloquially, ice ages), and intermittent warm periods within an ice age are called interglacials or interstadials.",lasticeage.jpg,years,20000,FALSE
Homo sapiens,"Anatomically modern humans emerged around 300,000 years ago in Africa, evolving from Homo heidelbergensis or a similar species and migrating out of Africa, gradually replacing or interbreeding with local populations of archaic humans. For most of history, humans were nomadic hunter-gatherers.",homosapiens.jpeg,years,300000,FALSE
Homo neanderthalenthsis,"Neanderthals (/niˈændərˌtɑːl, neɪ-, -ˌθɑːl/;[7] Homo neanderthalensis or H. sapiens neanderthalensis), also written as Neandertals, are an extinct species or subspecies of archaic humans who lived in Eurasia until about 40,000 years ago.[8][9][10][11] The reasons for Neanderthal extinction remain a topic of discussion,[12][13] the culprits include: demographic factors such as small population size and inbreeding; competitive replacement[14] or assimilation into the modern human genome (i.e., Neanderthals were bred into extinction);[15] great climatic change;[16][17][18] disease;[19][20] or a combination of these factors.",homoneanderthalenthsis.jpg,years,400000,FALSE
Homo heidelbergensis,"Homo heidelbergensis (also H. sapiens heidelbergensis) is an extinct species or subspecies of archaic human which existed during the Middle Pleistocene. It was subsumed as a subspecies of H. erectus in 1950 as H. e. heidelbergensis, but towards the end of the century, it was more widely classified as its own species. It is debated whether or not to constrain H. heidelbergensis to only Europe or to also include African and Asian specimens, and this is further confounded by the type specimen (Mauer 1) being a jawbone, because jawbones feature few diagnostic traits and are generally missing among Middle Pleistocene specimens. Thus, it is debated if some of these specimens could be split off into their own species or a subspecies of H. erectus. Because the classification is so disputed, the Middle Pleistocene is often called the 'muddle in the middle.'",homoheidelbergensis.JPG,years,800000,FALSE
Homo erectus,"Homo erectus (/ˌhoʊmoʊ əˈrɛktəs/; meaning ""upright man"") is an extinct species of archaic human from the Pleistocene, with its earliest occurrence about 2 million years ago.[2] Several human species, such as H. heidelbergensis and H. antecessor — with the former generally considered to have been the ancestor to Neanderthals, Denisovans, and modern humans — appear to have evolved from H. erectus.[3] Its specimens are among the first recognizable members of the genus Homo. H. erectus was the first human ancestor to spread throughout Eurasia, with a continental range extending from the Iberian Peninsula to Java. Asian populations of H. erectus may be ancestral to H. floresiensis[4] and possibly to H. luzonensis.[5] The last known population of H. erectus is H. e. soloensis from Java, around 117,000–108,000 years ago.[1] ",homoerectus.jpg,years,2000000,FALSE
Homo habilis,"Homo habilis (""handy man"") is an extinct species of archaic human from the Early Pleistocene of East and South Africa about 2.31 million years ago to 1.65 million years ago (mya). Upon species description in 1964, H. habilis was highly contested, with many researchers recommending it be synonymised with Australopithecus africanus, the only other early hominin known at the time, but H. habilis received more recognition as time went on and more relevant discoveries were made. By the 1980s, H. habilis was proposed to have been a human ancestor, directly evolving into Homo erectus which directly led to modern humans.",homohabilis.png,years,2100000,FALSE
Paranthropus boisei,"Paranthropus boisei is a species of australopithecine from the Early Pleistocene of East Africa about 2.5 to 1.15 million years ago.[1] The holotype specimen, OH 5, was discovered by palaeoanthropologist Mary Leakey in 1959, and described by her husband Louis a month later. It was originally placed into its own genus as ""Zinjanthropus boisei"", but is now relegated to Paranthropus along with other robust australopithecines. However, it is also argued that Paranthropus is an invalid grouping and synonymous with Australopithecus, so the species is also often classified as Australopithecus boisei. ",paranthropusboisei.jpg,years,2500000,FALSE
Australopithecus afarensis,"Australopithecus afarensis is an extinct species of australopithecine which lived from about 3.9–2.9 million years ago (mya) in the Pliocene of East Africa.[2] The first fossils were discovered in the 1930s, but major fossil finds would not take place until the 1970s. From 1972 to 1977, the International Afar Research Expedition—led by anthropologists Maurice Taieb, Donald Johanson and Yves Coppens—unearthed several hundreds of hominin specimens in Hadar, Ethiopia, the most significant being the exceedingly well-preserved skeleton AL 288-1 (""Lucy"") and the site AL 333 (""the First Family"").",australopithecusafarensis.jpg,years,3600000,FALSE
Australopithecus africanus,"Australopithecus africanus is an extinct species of australopithecine which lived between about 3.3 and 2.1 million years ago in the Late Pliocene to Early Pleistocene of South Africa.[1] The species has been recovered from Taung, Sterkfontein, Makapansgat, and Gladysvale. The first specimen, the Taung child, was described by anatomist Raymond Dart in 1924, and was the first early hominin found. However, its closer relations to humans than to other apes would not become widely accepted until the middle of the century because most had believed humans evolved outside of Africa.",australopithecusafricanus.jpg,years,3600000,FALSE
Kenyanthropus platyops,"Kenyanthropus is a hominin genus identified from the Lomekwi site by Lake Turkana, Kenya, dated to 3.3 to 3.2 million years ago during the Middle Pliocene. It contains one species, K. platyops, but may also include the 2 million year old Homo rudolfensis, or K. rudolfensis. Before its naming in 2001, Australopithecus afarensis was widely regarded as the only australopithecine to exist during the Middle Pliocene, but Kenyanthropus evinces a greater diversity than once acknowledged.",kenyanthropusplatyops.jpg,years,4000000,FALSE
Sahelanthropus tchadensis,"Sahelanthropus tchadensis is an extinct species of the Homininae (African apes) dated to about 7 million years ago, during the Miocene epoch. The species, and its genus Sahelanthropus, was announced in 2002, based mainly on a partial cranium, nicknamed Toumaï, discovered in northern Chad.",sahelanthropustchadensis.jpg,years,7000000,FALSE
First Cats (Felidae),The cat (Felis catus) is a domestic species of small carnivorous mammal.[1][2] It is the only domesticated species in the family Felidae and is commonly referred to as the domestic cat or house cat to distinguish it from the wild members of the family.[4] Cats are commonly kept as house pets but can also be farm cats or feral cats; the feral cat ranges freely and avoids human contact.[5] Domestic cats are valued by humans for companionship and their ability to kill rodents. About 60 cat breeds are recognized by various cat registries.[6],firstcatsfelidae.jpg,years,25000000,FALSE
Marine Mammals,"Marine mammals are aquatic mammals that rely on the ocean and other marine ecosystems for their existence. They include animals such as seals, whales, manatees, sea otters and polar bears. They are an informal group, unified only by their reliance on marine environments for feeding and survival.",marinemammals.jpg,years,30000000,FALSE
Formation of the Himalayas,"The Himalayas, or Himalaya (/ˌhɪməˈleɪ.ə, hɪˈmɑːləjə/; Sanskrit: [ɦɪmaːlɐjɐ]; from Sanskrit himá 'snow, frost', and ā-laya 'dwelling, abode'),[1] is a mountain range separating the plains of the Indian subcontinent from the Tibetan Plateau. The range has some of the planet's highest peaks, including the very highest, Mount Everest which lies on the border of China and Nepal. Over 100 peaks exceeding 7,200 m (23,600 ft) in elevation lie in the Himalayas. By contrast, the highest peak outside Asia (Aconcagua, in the Andes) is 6,961 m (22,838 ft) tall.[2]",formationofthehimalayas.jpg,years,50000000,FALSE
KT Extinction,"The Cretaceous–Paleogene (K–Pg) extinction event[a] (also known as the Cretaceous–Tertiary (K–T) extinction)[b] was a sudden mass extinction of three-quarters of the plant and animal species on Earth,[2][3] approximately 66 million years ago. With the exception of some ectothermic species such as sea turtles and crocodilians, no tetrapods weighing more than 25 kilograms (55 pounds) survived.[4] It marked the end of the Cretaceous Period, and with it the Mesozoic era, while heralding the beginning of the Cenozoic era, which continues to this day.",ktextinction.jpg,years,65000000,FALSE
Formation of the Rocky Mountains,"The Rocky Mountains, also known as the Rockies, are a major mountain range and the largest mountain system in North America. The Rocky Mountains stretch 3,000 miles (4,800 kilometers)[1] in straight-line distance from the northernmost part of western Canada, to New Mexico in the southwestern United States. Depending on differing definitions between Canada and the U.S., its northern terminus is located either in northern British Columbia's Terminal Range south of the Liard River and east of the Trench, or in the northeastern foothills of the Brooks Range/British Mountains that face the Beaufort Sea coasts between the Canning River and the Firth River across the Alaska-Yukon border.",formationoftherockymountains.jpg,years,80000000,FALSE
Flowering Plants,"Flowering plants are plants that bear flowers and fruits, and form the clade Angiospermae (/ˌændʒiəˈspɜːrmiː/),[5][6] commonly called angiosperms. The term ""angiosperm"" is derived from the Greek words ἀγγεῖον/angeion ('container, vessel') and σπέρμα/sperma ('seed'), and refers to those plants that produce their seeds enclosed within a fruit. They are by far the most diverse group of land plants with 64 orders, 416 families, approximately 13,000 known genera and 300,000 known species.[7] Angiosperms were formerly called Magnoliophyta (/mæɡˌnoʊliˈɒfətə, -əˈfaɪtə/).[8] ",floweringplants.jpg,years,140000000,FALSE
First Birds,"Birds are a group of warm-blooded vertebrates constituting the class Aves (/ˈeɪviːz/), characterised by feathers, toothless beaked jaws, the laying of hard-shelled eggs, a high metabolic rate, a four-chambered heart, and a strong yet lightweight skeleton. Birds live worldwide and range in size from the 5.5 cm (2.2 in) bee hummingbird to the 2.8 m (9 ft 2 in) common ostrich.",firstbirds.jpg,years,150000000,FALSE
Opening of the Atlantic,"The Atlantic Ocean is the second-largest of the world's five oceans, with an area of about 106,460,000 km2 (41,100,000 sq mi).[2][3] It covers approximately 20% of Earth's surface and about 29% of its water surface area. It is known to separate the ""Old World"" of Africa, Europe and Asia from the ""New World"" of the Americas in the European perception of the World.",openingoftheatlantic.png,years,180000000,FALSE
First Mammals,"A mammal (from Latin mamma 'breast')[1] is a vertebrate animal of the class Mammalia (/məˈmeɪli.ə/). Mammals are characterized by the presence of milk-producing mammary glands for feeding their young, a neocortex region of the brain, fur or hair, and three middle ear bones. These characteristics distinguish them from reptiles and birds, which they diverged from in the Carboniferous Period over 300 million years ago. Around 6,400 extant species of mammals have been described and divided into 29 orders. ",firstmammals.jpg,years,220000000,FALSE
P/T Extinction,"The Permian–Triassic (P–T, P–Tr)[3][4] extinction event,[5] also known as the Latest Permian extinction event, the End-Permian Extinction[6] and colloquially as the Great Dying,[7] formed the boundary between the Permian and Triassic geologic periods, and with them the Paleozoic and Mesozoic eras respectively, approximately 251.9 million years ago.[8] It is the Earth's most severe known extinction event,[9][10] with the extinction of 57% of biological families, 83% of genera, 81% of marine species[11][12][13] and 70% of terrestrial vertebrate species.[14] It was the largest known mass extinction of insects. ",ptextinction.png,years,250000000,FALSE
Burgess Shale,"The Burgess Shale is a fossil-bearing deposit exposed in the Canadian Rockies of British Columbia, Canada.[2][3] It is famous for the exceptional preservation of the soft parts of its fossils. At 508 million years old (middle Cambrian),[4] it is one of the earliest fossil beds containing soft-part imprints. The rock unit is a black shale and crops out at a number of localities near the town of Field in Yoho National Park and the Kicking Horse Pass. Another outcrop is in Kootenay National Park 42 km to the south. ",burgessshale.jpg,years,505000000,FALSE
Trilobites,"Trilobites (/ˈtraɪləˌbaɪts, ˈtrɪlə-/;[4][5][6] meaning ""three lobes"") are extinct marine arthropods that form the class Trilobita. Trilobites form one of the earliest known groups of arthropods. The first appearance of trilobites in the fossil record defines the base of the Atdabanian stage of the Early Cambrian period (521 million years ago) and they flourished throughout the lower Paleozoic before slipping into a long decline, when, during the Devonian, all trilobite orders except the Proetida died out. The last extant trilobites finally disappeared in the mass extinction at the end of the Permian about 252 million years ago. Trilobites were among the most successful of all early animals, existing in oceans for almost 270 million years, with over 22,000 species having been described.",trilobites.JPG,years,515000000,FALSE
Early Vertebrates,"Vertebrates (/ˈvɜːrtəbrɪts, -ˌbreɪts/)[3] comprise all animal taxa within the subphylum Vertebrata (/ˌvɜːrtəˈbreɪtə/)[4] (chordates with backbones), including all mammals, birds, reptiles, amphibians, and fish. Vertebrates represent the overwhelming majority of the phylum Chordata, with currently about 69,963 species described.",earlyvertebrates.png,years,525000000,FALSE
Snowball Earth,"The Snowball Earth hypothesis proposes that, during one or more of Earth's icehouse climates, the planet's surface became entirely or nearly entirely frozen. It is believed that this occurred sometime before 650 myr (million years ago) during the Cryogenian period. Proponents of the hypothesis argue that it best explains sedimentary deposits that are generally believed to be of glacial origin at tropical palaeolatitudes and other enigmatic features in the geological record.",snowballearth.jpg,years,650000000,FALSE
First Sexual Reproduction,"Sexual reproduction is a type of reproduction that involves a complex life cycle in which a gamete (haploid reproductive cells, such as a sperm or egg cell) with a single set of chromosomes combines with another gamete to produce a zygote that develops into an organism composed of cells with two sets of chromosomes (diploid). This is typical in animals, though the number of chromosome sets and how that number changes in sexual reproduction varies, especially among plants, fungi, and other eukaryotes.",firstsexualreproduction.png,years,900000000,FALSE
Eukaryotes Appear,"Eukaryota, whose members are known as eukaryotes (/juːˈkærioʊts, -əts/), is a diverse domain of organisms whose cells have a nucleus.[4] All animals, plants, fungi, and many unicellular organisms, are eukaryotes. They belong to the group of organisms Eukaryota or Eukarya, which is one of the three domains of life. Bacteria and Archaea (both prokaryotes) make up the other two domains.",eukaryotesappear.jpg,years,1800000000,FALSE
First Diatoms,"A diatom (Neo-Latin diatoma)[a] is any member of a large group comprising several genera of algae, specifically microalgae, found in the oceans, waterways and soils of the world. Living diatoms make up a significant portion of the Earth's biomass: they generate about 20 to 50 percent of the oxygen produced on the planet each year,[10][11] take in over 6.7 billion metric tons of silicon each year from the waters in which they live,[12] and constitute nearly half of the organic material found in the oceans. The shells of dead diatoms can reach as much as a half-mile (800 m) deep on the ocean floor, and the entire Amazon basin is fertilized annually by 27 million tons of diatom shell dust transported by transatlantic winds from the African Sahara, much of it from the Bodélé Depression, which was once made up of a system of fresh-water lakes.",firstdiatoms.jpg,years,2000000000,FALSE
Earliest Major Glaciations,"A glacial period (alternatively glacial or glaciation) is an interval of time (thousands of years) within an ice age that is marked by colder temperatures and glacier advances. Interglacials, on the other hand, are periods of warmer climate between glacial periods. The Last Glacial Period ended about 15,000 years ago.[1] The Holocene is the current interglacial. A time with no glaciers on Earth is considered a greenhouse climate state.",earliestmajorglaciations.png,years,2200000000,FALSE
Accumulation of Oxygen,"Oxygen is the chemical element with the symbol O and atomic number 8. It is a member of the chalcogen group in the periodic table, a highly reactive nonmetal, and an oxidizing agent that readily forms oxides with most elements as well as with other compounds. Oxygen is Earth's most abundant element, and after hydrogen and helium, it is the third-most abundant element in the universe. At standard temperature and pressure, two atoms of the element bind to form dioxygen, a colorless and odorless diatomic gas with the formula O
2. Diatomic oxygen gas currently constitutes 20.95% of the Earth's atmosphere, though this has changed considerably over long periods of time. Oxygen makes up almost half of the Earth's crust in the form of oxides.",accumulationofoxygen.jpg,years,2300000000,FALSE
BIFs,"Banded iron formations (also known as banded ironstone formations or BIFs) are distinctive units of sedimentary rock consisting of alternating layers of iron oxides and iron-poor chert. They can be up to several hundred meters in thickness and extend laterally for several hundred kilometers. Almost all of these formations are of Precambrian age and are thought to record the oxygenation of the Earth's oceans. Some of the Earth's oldest rock formations, which formed about 3,700 million years ago (Ma), are associated with banded iron formations. ",bifs.jpg,years,3000000000,FALSE
Stromatolites,"Stromatolites (/stroʊˈmætəˌlaɪts, strə-/)[2][3] or stromatoliths (from Ancient Greek στρῶμα (strôma), GEN στρώματος (strṓmatos) 'layer, stratum', and λίθος (líthos) 'rock')[4] are layered sedimentary formations (microbialite) that are created mainly by photosynthetic microorganisms such as cyanobacteria, sulfate-reducing bacteria, and Pseudomonadota (formerly proteobacteria). These microorganisms produce adhesive compounds that cement sand and other rocky materials to form mineral ""microbial mats"". In turn, these mats build up layer by layer, growing gradually over time.[5][6] A stromatolite may grow to a meter or more.[7][8] Although they are rare today, fossilized stromatolites provide records of ancient life on Earth.",stromatolites.jpg,years,3300000000,FALSE
Oldest Rock,"The oldest dated rocks formed on Earth, as an aggregate of minerals that have not been subsequently broken down by erosion or melted, are more than 4 billion years old, formed during the Hadean Eon of Earth's geological history. Meteorites that were formed in other planetary systems can pre-date Earth. Particles from the Murchison meteorite were dated in January 2020 to be 7 billion years old.",oldestrock.jpg,years,4300000000,FALSE
Formation of the Moon,"The origin of the Moon is usually explained by a Mars-sized body striking the Earth, making a debris ring that eventually collected into a single natural satellite, the Moon, but there are a number of variations on this giant-impact hypothesis, as well as alternative explanations, and research continues into how the Moon came to be formed. [1][2] Other proposed scenarios include captured body, fission, formed together (condensation theory, synestia), planetesimal collisions (formed from asteroid-like bodies), and collision theories.",formationofthemoon.jpg,years,4450000000,FALSE
Formation of Earth,"The oldest material found in the Solar System is dated to 4.5682 Ga (billion years) ago. By 4.54 Ga the primordial Earth had formed. The bodies in the Solar System formed and evolved with the Sun. In theory, a solar nebula partitions a volume out of a molecular cloud by gravitational collapse, which begins to spin and flatten into a circumstellar disk, and then the planets grow out of that disk with the Sun. A nebula contains gas, ice grains, and dust (including primordial nuclides). According to nebular theory, planetesimals formed by accretion, with the primordial Earth being estimated as likely taking anywhere from 70 to 100 million years to form.",formationoftheearth.jpg,years,4500000000,FALSE
